Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
2015,December,2 Eastern, Benalla, 810 ," 5,817.7 "
2015,December,2 Eastern, Boroondara," 5,893 "," 3,372.2 "
2015,December,2 Eastern, East Gippsland," 3,147 "," 7,013.9 "
2015,December,2 Eastern, Greater Shepparton," 5,498 "," 8,525.5 "
2015,December,2 Eastern, Indigo, 380 ," 2,386.6 "
2015,December,2 Eastern, Knox," 7,355 "," 4,634.5 "
2015,December,2 Eastern, Latrobe," 9,019 "," 12,144.2 "
2015,December,2 Eastern, Manningham," 3,354 "," 2,776.8 "
2015,December,2 Eastern, Mansfield, 339 ," 3,974.2 "
2015,December,2 Eastern, Maroondah," 5,792 "," 5,124.6 "
2015,December,2 Eastern, Mitchell," 2,656 "," 6,596.5 "
2015,December,2 Eastern, Moira," 1,104 "," 3,769.5 "
2015,December,2 Eastern, Monash," 7,525 "," 3,977.8 "
2015,December,2 Eastern, Murrindindi, 509 ," 3,675.6 "
2015,December,2 Eastern, South Gippsland, 906 ," 3,147.9 "
2015,December,2 Eastern, Strathbogie, 359 ," 3,528.3 "
2015,December,2 Eastern, Towong, 167 ," 2,781.0 "
2015,December,2 Eastern, Wangaratta," 1,629 "," 5,788.3 "
2015,December,2 Eastern, Wellington," 2,963 "," 6,863.2 "
2015,December,2 Eastern, Whitehorse," 5,785 "," 3,470.7 "
2015,December,2 Eastern, Wodonga," 2,617 "," 6,672.1 "
2015,December,2 Eastern, Yarra Ranges," 5,442 "," 3,547.8 "
2015,December,2 Eastern,Total," 78,026 "," 4,786.2 "
2015,December,3 Southern Metro, Bayside," 3,643 "," 3,597.4 "
2015,December,3 Southern Metro, Cardinia," 4,679 "," 5,069.4 "
2015,December,3 Southern Metro, Casey," 15,157 "," 5,060.3 "
2015,December,3 Southern Metro, Frankston," 10,926 "," 7,929.5 "
2015,December,3 Southern Metro, Glen Eira," 5,141 "," 3,523.1 "
2015,December,3 Southern Metro, Greater Dandenong," 13,516 "," 8,660.7 "
2015,December,3 Southern Metro, Kingston," 8,066 "," 5,162.4 "
2015,December,3 Southern Metro, Mornington Peninsula," 8,133 "," 5,120.5 "
2015,December,3 Southern Metro, Port Phillip," 9,808 "," 9,219.7 "
